Location_Name,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Vaccine_type,Booking_walk,Days,Blank,Age,
Nofrills,Pharmacy,"3401 Lawrence Avenue East, Scarborough, ON",Scarborough,Ontario,M1H 1B2,CA,43.7575482,-79.2304055,416-438-4392,www.nofrills.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Nofrills,Pharmacy,"681 Silver Star Boulevard, Scarborough, ON",Scarborough,Ontario,M1V 5N1,CA,43.8238543,-79.2988738,416-292-3656,www.nofrills.ca/covid19,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8:30 a.m. to 8:30 p.m.
Saturday: 8:30 a.m. to 6 p.m.
Sunday: 10 a.m. to 5 p.m.",-,40+,
Orton Park Guardian Pharmacy,Pharmacy,"136 Orton Park Road, Scarborough, ON",Scarborough,Ontario,M1G 3H1,CA,43.7716344,-79.2092939,416-439-7222,www.guardian-ida-pharmacies.ca/en/ontario/scarborough/orton-park-pharmacy-7041430,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 9 a.m. to 5 p.m.",-,40+,
People's Choice Remedy's Rx,Pharmacy,"1145 Morningside Avenue, Unit 16, Scarborough, ON",Scarborough,Ontario,M1B 0A7,CA,43.8013095,-79.1984082,647-748-7337,www.peopleschoicepharmacies.com/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 8 p.m.
Saturday: 9:30 a.m. to 5 p.m.",-,40+,
Pharmasave Cedarcourt Pharmacy,Pharmacy,"3480 Lawrence Avenue East, Scarborough, ON",Scarborough,Ontario,M1H 1A9,CA,43.7597868,-79.2270078,416-289-0000,pharmasavecedarcourt.medmeapp.ca/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 10 a.m. to 7 p.m.
Saturday: 10 a.m. to 4 p.m.",-,40+,
Rexall,Pharmacy,"2682 Eglinton Avenue East, Scarborough, ON",Scarborough,Ontario,M1K 2S3,CA,43.7373179,-79.2494319,,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Sunday: 9 a.m. to 10 p.m.,-,40+,
Rexall ,Pharmacy,"4040 Finch Avenue East, Scarborough, ON",Scarborough,Ontario,M1S 4V5,CA,43.802426,-79.2938831,,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8:30 a.m. to 9 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 11 a.m. to 3 p.m.",-,40+,
Rexall,Pharmacy,"3607 Sheppard Avenue East, Scarborough, ON",Scarborough,Ontario,M1T 3K8,CA,43.7804383,-79.2982782,416-291-0402,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,Monday - Sunday: 9 a.m. to 10 p.m.,-,40+,
Rexall,Pharmacy,"1127 Markham Road, Scarborough, ON",Scarborough,Ontario,M1H 2Y5,CA,43.7754702,-79.2305767,,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday: 9 a.m. to 8 p.m.
Sunday: 9 a.m. to 6 p.m.",-,40+,
Rexall,Pharmacy,"4459 Kingston Road, Scarborough, ON",Scarborough,Ontario,M1E 2N7,CA,43.7686389,-79.1873671,,www.rexall.ca/covid-19/vaccines,AstraZeneca,Appoinment/Booking,"Monday - Friday: 8 a.m. to 9 p.m.
Saturday - Sunday: 9 a.m. to 6 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"2863 Ellesmere Road, Scarborough, ON",Scarborough,Ontario,M1E 5E9,CA,43.7805326,-79.2060768,416-724-6055,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 9 p.m.
Saturday - Sunday: 10 a.m. to 9 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"685 McCowan Road, Scarborough, ON",Scarborough,Ontario,M1J 1K2,CA,43.7546876,-79.2446318,416-431-4822,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 10 p.m.
Saturday: 9 a.m. to 10 p.m.
Sunday: 10 a.m. to 10 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"2900 Warden Avenue, Scarborough, ON",Scarborough,Ontario,M1W 2S8,CA,43.7984738,-79.3182127,,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 10 p.m.
Saturday: 9 a.m. to 8 p.m.
Sunday: 10 a.m. to 7 p.m.",-,40+,
Shoppers Drug Mart,Pharmacy,"2355 Warden Avenue, Scarborough, ON",Scarborough,Ontario,M1T 1V7,CA,43.7850608,-79.3100251,,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"1400 Neilson Road, Scarborough, ON",Scarborough,Ontario,M1B 0C2,CA,43.8093399,-79.2229982,416-754-3130,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m,-,40+,
Shoppers Drug Mart,Pharmacy,"2251 Lawrence Avenue East, Scarborough, ON",Scarborough,Ontario,M1P 2P5,CA,43.7487442,-79.2763879,416-759-6767,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"300 Borough Drive, Scarborough, ON",Scarborough,Ontario,M1P 4P5,CA,43.7757281,-79.2574487,416-296-5056,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 10:30 a.m. to 7 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"2901 Sheppard Avenue East, Scarborough, ON",Scarborough,Ontario,M1T 3J3,CA,43.7750524,-79.3223314,416-491-4444,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,24 HOURS/7 DAYS,-,40+,
Shoppers Drug Mart,Pharmacy,"2999 Kingston Road, Scarborough, ON",Scarborough,Ontario,M1M 1P1,CA,43.7252846,-79.2305937,416-261-6114,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 12 a.m. (midnight)
Saturday: 9 a.m. to 12 a.m. (midnight)
Sunday: 10 a.m. to 12 a.m. (midnight)",-,40+,
Shoppers Drug Mart,Pharmacy,"85 Ellesmere Road, Unit 31, Scarborough, ON",Scarborough,Ontario,M1R 4B7,CA,43.7570595,-79.3134587,416-444-8478,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m,-,40+,
Shoppers Drug Mart,Pharmacy,"265 Port Union Road, Scarborough, ON",Scarborough,Ontario,M1C 2L3,CA,43.7890134,-79.1397278,416-284-9229,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"5671 Steeles Avenue East, Scarborough, ON",Scarborough,Ontario,M1V 5P6,CA,43.8330026,-79.2652886,416-292-2024,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 12 a.m. (midnight)
Saturday: 9 a.m. to 12 a.m. (midnight)
Sunday: 10 a.m. to 12 a.m. (midnight)",-,40+,
Shoppers Drug Mart,Pharmacy,"2330 Kennedy Road, Scarborough, ON",Scarborough,Ontario,M1T 3H1,CA,43.7838577,-79.2893272,416-299-3532,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,24 HOURS/7 DAYS,-,40+,
Shoppers Drug Mart,Pharmacy,"1571 Sandhurst Circle, Scarborough, ON",Scarborough,Ontario,M1V 1V2,CA,43.8092547,-79.2696046,416-292-6602,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 12 a.m. (midnight),-,40+,
Shoppers Drug Mart,Pharmacy,"1235 McCowan Road, Scarborough, ON",Scarborough,Ontario,M1H 3K3,CA,43.7726783,-79.2510177,416-412-1353,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,24 HOURS/7 DAYS,-,40+,
Shoppers Drug Mart,Pharmacy,"91 Rylander Boulevard, Unit 1022, Scarborough, ON",Scarborough,Ontario,M1B 5M5,CA,43.7971562,-79.1510611,416-724-5344,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 9 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"255 Morningside Avenue, Scarborough, ON",Scarborough,Ontario,M1E 3E6,CA,43.7699397,-79.1849207,416-282-1129,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,24 HOURS/7 DAYS,-,40+,
Shoppers Drug Mart,Pharmacy,"1780 Markham Road, Scarborough, ON",Scarborough,Ontario,M1B 2W2,CA,43.7948226,-79.2405334,416-412-1780,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 9 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"629 Markham Road, Scarborough, ON",Scarborough,Ontario,M1H 2A4,CA,43.7601551,-79.2253571,416-439-2121,covid-19.shoppersdrugmart.ca/en,AstraZeneca,Appoinment/Booking,Monday - Sunday: 9 a.m. to 10 p.m.,-,40+,
Shoppers Drug Mart,Pharmacy,"2751 Eglinton Avenue East, Scarborough, ON",Scarborough,Ontario,M1J 2C7,CA,43.7363941,-79.2474937,416-267-8211,covid-19.shoppersdrugmart.ca/en,Pfizer,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,18+,
Victoria Commons Pharmacy,Pharmacy,"2555 Victoria Park Avenue, Unit 6, Scarborough, ON",Scarborough,Ontario,M1T 1A3,CA,43.7727921,-79.3210997,,viccomhealth.com/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 5 p.m.
Saturday: 10 a.m. to 2 p.m.",-,40+,
Village Square Pharmacy,Pharmacy,"2942 Finch Avenue East, Scarborough, ON",Scarborough,Ontario,M1W 2T4,CA,43.7943595,-79.3294453,416-492-4167,www.guardian-ida-pharmacies.ca/en/ontario/scarborough/village-square-pharmacy-7005106 ,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 9 a.m. to 3 p.m",-,40+,
Wal-mart Pharmacy,Pharmacy,"300 Borough Drive, Scarborough, ON",Scarborough,Ontario,M1P 4P5,CA,43.7757281,-79.2574487,,www.walmart.ca/en/covid19-vaccinations-centre-info,AstraZeneca,Appoinment/Booking,Monday - Sunday: 7 a.m. to 11 p.m.,-,40+,
Wal-mart Pharmacy,Pharmacy,"5995 Steeles Avenue East, Scarborough, ON",Scarborough,Ontario,M1V 5P6,CA,43.8333939,-79.2553806,416-298-2578,www.walmart.ca/en/covid19-vaccinations-centre-info,AstraZeneca,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,40+,
Wal-mart Pharmacy,Pharmacy,"3850 Sheppard Avenue East, Scarborough, ON",Scarborough,Ontario,M1T 3L4,CA,43.7841948,-79.2921542,416-293-2429,www.walmart.ca/en/covid19-vaccinations-centre-info,AstraZeneca,Appoinment/Booking,Monday - Sunday: 7 a.m. to 11 p.m.,-,40+,
Wal-mart Pharmacy,Pharmacy,"1900 Eglinton Avenue East, Scarborough, ON",Scarborough,Ontario,M1L 2L9,CA,43.7283577,-79.2955271,416-615-2702,www.walmart.ca/en/covid19-vaccinations-centre-info,Pfizer,Appoinment/Booking,Monday - Sunday: 7 a.m. to 11 p.m.,-,18+,
Wal-mart Pharmacy,Pharmacy,"799 Milner Avenue, Scarborough, ON",Scarborough,Ontario,M1B 3C3,CA,43.7976384,-79.2017578,416-281-4643,www.walmart.ca/en/covid19-vaccinations-centre-info,AstraZeneca,Appoinment/Booking,Monday - Sunday: 7 a.m. to 11 p.m.,-,40+,
Metro Toronto Convention Centre (North Building),City-Operated Clinic,"277 Front St W, Toronto, ON",Toronto,Ontario,M5V 2X4,CA,43.6437883,-79.3882786,,covid-19.ontario.ca/book-vaccine/,Not sure,Appoinment/Booking,,-,18+ (Hotspot),
Scarborough Town Centre,City-Operated Clinic,"300 Borough Dr, Scarborough, ON",Scarborough,Ontario,M1P 4P5,CA,43.7757281,-79.2574487,,covid-19.ontario.ca/book-vaccine/,Not sure,Appoinment/Booking,,-,18+ (Hotspot),
Toronto Congress Centre,City-Operated Clinic,"650 Dixon Rd, Etobicoke, ON",Etobicoke,Ontario,M9W 1J1,CA,43.6920262,-79.5782115,,covid-19.ontario.ca/book-vaccine/,Not sure,Appoinment/Booking,,-,18+ (Hotspot),
East York Town Centre (Thorncliffe Park Community Hub),"City-Operated Clinic, Michael Garron Hospital","45 Overlea Blvd, Toronto, ON",Toronto,Ontario,M4H 1C2,CA,43.7057953,-79.3460276,,covid-19.ontario.ca/book-vaccine/,Not sure,Appoinment/Booking,,-,18+ (Hotspot),
Mitchell Field Arena,City-Operated Clinic,"89 Church Ave, North York, ON",North York,Ontario,M2N 6C9,CA,43.7744594,-79.408229,,covid-19.ontario.ca/book-vaccine/,Not sure,Appoinment/Booking,,-,18+ (Hotspot),
Malvern Community Recreation Centre,City-Operated Clinic,"30 Sewells Rd, Scarborough, ON",Scarborough,Ontario,M1B 3G5,CA,43.8081621,-79.2162806,,covid-19.ontario.ca/book-vaccine/,Not sure,Appoinment/Booking,,-,18+ (Hotspot),
The Hangar Sport & Event Centre,City-Operated Clinic,"75 Carl Hall Rd, Toronto, ON",Toronto,Ontario,M3K 2B9,CA,43.7481008,-79.4745952,,covid-19.ontario.ca/book-vaccine/,Not sure,Appoinment/Booking,,-,18+ (Hotspot),
Carmine Stefano Community Centre,City-Operated Clinic,"3100 Weston Rd, North York, ON",North York,Ontario,M9M 2S7,CA,43.7329924,-79.5391369,,covid-19.ontario.ca/book-vaccine/,Not sure,Appoinment/Booking,,-,18+ (Hotspot),
Cloverdale Mall,City-Operated Clinic,"250 The East Mall, Etobicoke, ON",Etobicoke,Ontario,M9B 3Y8,CA,43.6324095,-79.5564805,,covid-19.ontario.ca/book-vaccine/,Not sure,Appoinment/Booking,,-,18+ (Hotspot),
North Toronto Memorial Community Centre,City-Operated Clinic,"200 Eglinton Avenue West, Toronto, ON",Toronto,Ontario,M4R 1A7,CA,43.7069278,-79.4045237,,covid-19.ontario.ca/book-vaccine/,Not sure,Appoinment/Booking,,-,18+ (Hotspot),
Centennial College – Progress Campus (Athletic and Wellness Centre),Scarborough Health Network,"941 Progress Ave, Scarborough, ON",Scarborough,Ontario,M1G 3T8,CA,43.7839791,-79.2316767,,www.scarboroughcovidvaccineclinic.ca/,Not sure,Appoinment/Booking,7 DAYS/WEEK 10 a.m to 6 p.m,-,18+ (Hotspot),
SHN - Centenary Hospital,Scarborough Health Network,"2867 Ellesmere Rd, Scarborough, ON",Scarborough,Ontario,M1E 4B9,CA,43.7800012,-79.2049361,,www.scarboroughcovidvaccineclinic.ca/,Not sure,Appoinment/Booking,7 DAYS/WEEK 8:30 a.m to 7 p.m,-,18+ (Hotspot),
Carefirst Seniors & Community Services Association,Scarborough Health Network,"300 Silver Star Blvd, Scarborough, ON",Scarborough,Ontario,M1V 0G2,CA,43.8125725,-79.2949245,,www.scarboroughcovidvaccineclinic.ca/,Not sure,Appoinment/Booking,Monday - Friday: 9 a.m - 5 p.m,-,18+ (Hotspot),
The Mid-Scarborough Hub – SCHC,Scarborough Health Network,"2660 Eglinton Ave E, Scarborough, ON",Scarborough,Ontario,M1K 2S3,CA,43.7371903,-79.2505725,,www.scarboroughcovidvaccineclinic.ca/,Not sure,Appoinment/Booking,7 DAYS/WEEK 9 a.m - 7 p.m.,-,18+ (Hotspot),
TAIBU Community Health Centre,Scarborough Health Network,"27 Tapscott Rd #1, Scarborough, ON",Scarborough,Ontario,M1B 4Y7,CA,43.8061498,-79.2205307,,www.scarboroughcovidvaccineclinic.ca/,Not sure,Appoinment/Booking,"Monday – Thursday: 9 a.m. ­– 8 p.m.
Friday & Saturday: 9 a.m. – 5 p.m.",-,18+ (Hotspot),
MICHAEL GARRON HOSPITAL,Michael Garron Hospital,"825 Coxwell Avenue, East York, ON",East York,Ontario,M4C 3E7,CA,43.6898713,-79.3248582,,https://www.tehn.ca/covid19/covid-19-vaccine,Not sure,Appoinment/Booking,,-,,
JIMMIE SIMPSON RECREATION CENTRE,Michael Garron Hospital,"870 Queen Street East, Toronto, ON",Toronto,Ontario,M4M 3G9,CA,43.6600644,-79.3452488,,https://www.tehn.ca/covid19/covid-19-vaccine,Not sure,Appoinment/Booking,,-,,
WARDEN HILLTOP COMMUNITY CENTRE,Michael Garron Hospital,"25 Mendelssohn Street, Scarborough, ON",Scarborough,Ontario,M1L 0G6,CA,43.7146723,-79.2806243,,https://www.tehn.ca/covid19/covid-19-vaccine,Not sure,Appoinment/Booking,,-,,
Allcures Pharmacy,Pharmacy,"31 St. Dennis Drive, Unit 1, Toronto, ON",Toronto,Ontario,M3C 1G7,CA,43.7183786,-79.3300652,416-696-1400,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 10 a.m. to 7 p.m.
Saturday: 10 a.m. to 3 p.m.
Sunday: 11 a.m. to 3 p.m.",-,40+,
Ava Pharmacy,Pharmacy,"81 St. Clair Avenue East, Unit 220, Toronto, ON",Toronto,Ontario,M4T 1M7,CA,43.6884774,-79.3907408,416-962-2111,avapharmacy.ca/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 10 a.m. to 7 p.m.
Saturday: 10 a.m. to 3 p.m ",-,40+,
Bathurst Wilson I.D.A. Pharmacy,Pharmacy,"322 Wilson Avenue, Toronto, ON",Toronto,Ontario,M3H 1S8,CA,43.7371923,-79.4366764,416-638-1755,www.guardian-ida-pharmacies.ca/en/ontario/downsview/bathurst-wilson-i-d-d-d-a-d-pharmacy-7014507,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 6 p.m.
Saturday: 11 a.m. to 3 p.m",-,40+,
Beaches Pharmacy,Pharmacy,"1967 Queen Street East, Toronto, ON",Toronto,Ontario,M4L 1H9,CA,43.6695158,-79.3014836,416-699-4999,beachespharmasave.medmeapp.ca/schedule,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8 p.m.
Saturday: 9 a.m. to 6 p.m.
Sunday: 9 a.m. to 3 p.m.",-,40+,
Canada Chemists,Pharmacy,"1975 Avenue Road, Toronto, ON",Toronto,Ontario,M5M 4A3,CA,43.734785,-79.419593,416-440-8008,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 10 a.m. to 6 p.m.
Saturday: 10 a.m. to 3 p.m.
Sunday: closed",-,40+,
Canadian Compounding Pharmacy,Pharmacy,"2920 Bloor Street West, Toronto, ON",Toronto,Ontario,M8X 1B6,CA,43.648507,-79.5072291,416-239-3566,www.medspharmacy.ca/canadian-compounding-pharmacy,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7 p.m.
Saturday: 10 a.m. to 2 p.m.",-,40+,
Care and Health Pharmacy,Pharmacy,"2928 Danforth Avenue, Toronto, ON",Toronto,Ontario,M4C 1M1,CA,43.6901834,-79.2934675,,pharmabest.ca/,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9:30 a.m. to 7 p.m.
Saturday: 10 a.m. to 3 p.m.
Sunday: 11 a.m. to 2 p.m.",-,40+,
Cassandra Pharmacy,Pharmacy,"2040 Victoria Park Avenue, Toronto, ON",Toronto,Ontario,M1R 1V2,CA,43.7524704,-79.3140955,416-449-2040,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 6 p.m.
Saturday: 9 a.m. to 3 p.m.
Sunday: closed",-,40+,
City Pharmacy Remedy's Rx,Pharmacy,"238 Danforth Avenue, Toronto, ON",Toronto,Ontario,M4K 1N4,CA,43.6770696,-79.3553891,416-469-1898,www.citypharmacy.ca/,AstraZeneca,Appoinment/Booking,"Monday - Thursday: 10 a.m. to 7 p.m.
Friday: 10 a.m. to 6 p.m.
Saturday: 10 a.m. to 4 p.m.",-,40+,
Demarco Pharmacy,Pharmacy,"2394 Keele Street, Toronto, ON",Toronto,Ontario,M6M 4A5,CA,43.7082127,-79.4781558,416-244-5888,,Pfizer,Appoinment/Booking,"Monday - Friday: 9 a.m. to 7:30 p.m.
Saturday: 9 a.m. to 4 p.m.
Sunday: closed",-,18+,
Keele-Ingram Pharmacy,Pharmacy,"2221 Keele Street, Toronto, ON",Toronto,Ontario,M6M 3Z5,CA,43.6989823,-79.4755084,416-247-8618,www.pharmachoice.com/locations/keele-ingram/,Pfizer,Appoinment/Booking,"Monday - Friday: 8 a.m. to 7 p.m.
Saturday: 8 a.m. to 5 p.m.",-,18+,
Real Canadian Superstore,Pharmacy,"2549 Weston Road, Toronto, ON",Toronto,Ontario,M9N 2A7,CA,43.7095985,-79.5337277,416-246-1417,www.realcanadiansuperstore.ca/covid19,Pfizer,Appoinment/Booking,"Monday - Friday: 8 a.m. to 8 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: 10 a.m. to 5 p.m.",-,18+,
Shoppers Drug Mart,Pharmacy,"565 Sherbourne Street, Unit 40, Toronto, ON",Toronto,Ontario,M4X 1W7,CA,43.6701586,-79.3756379,416-963-9495,covid-19.shoppersdrugmart.ca/en,Pfizer,Appoinment/Booking,Monday - Sunday: 8 a.m. to 10 p.m.,-,18+,
Drug Store Pharmacy,Pharmacy,"25 Photography Drive, Toronto, ON",Toronto,Ontario,M6M 0A1,CA,43.686662,-79.4839226,416-763-1502,,AstraZeneca,Appoinment/Booking,"Monday - Friday: 9 a.m. to 8 p.m.
Saturday: 9 a.m. to 5 p.m.
Sunday: closed",-,40+,
